Bug,Repeat No.,Exists,Accurate_S,Misleading_S,Concise_S,Useful_S,Accurate_G,Misleading_G,Concise_G,Useful_G,beego,equivalent,Acc_same,Mis_same,Con_same,Use_same,Accurate_Final,Misleading_Final,Concise_Final,Useful_Final,Precise,Misleading,Concise,Useful,Pure Precise
Closure_41,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_41,2,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Closure_41,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_41,4,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Closure_41,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Closure_82,1,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Closure_82,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Closure_82,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_82,4,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,the implementation of the LEAST_FUNCTION_TYPE.isEmptyType() method in the com.google.javascript.rhino.jstype.JSType class should be modified to correctly handle the LEAST_FUNCTION_TYPE as an empty type.,FALSE,TRUE,TRUE,TRUE,FALSE,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Closure_82,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE
Lang_32,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Lang_32,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Lang_32,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Lang_32,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Initial value를 수정하는 대신 getRegistry를 수정하면 되는것도 맞긴해보임. 나머지는 부수적인 수정들이라..,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Lang_32,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Closure_84,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_84,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,틀린말은 아닌데 너무 vague함 (class-level FL worked),TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Closure_84,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Closure_84,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_84,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Math_24,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Math_24,2,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Math_24,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Math_24,4,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Math_24,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Math_78,1,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Math_78,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Math_78,3,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Math_78,4,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Math_78,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,if (ga * gb > 0) {,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,TRUE,TRUE,TRUE
Math_99,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,FALSE,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Math_99,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Math_99,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Math_99,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Math_99,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_27,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Please note that the suggested fix assumes some details about the method's functionality and expected behavior. Actual changes to the method may vary depending on specific requirements and implementation details.,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Closure_27,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_27,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Closure_27,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,틀린말은 아닌데 vague함,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_27,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Fix가 좀 다를뿐 맞는 얘기임 (blockUnchecked),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Closure_38,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_38,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE
Closure_38,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE
Closure_38,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE
Closure_38,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Math_45,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Math_45,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,TRUE,TRUE,TRUE
Math_45,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Modify the OpenMapRealMatrix constructor to throw a NumberIsTooLargeException when the provided dimensions are too large.,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,TRUE,TRUE,TRUE
Math_45,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Math_45,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,TRUE,TRUE,TRUE
Time_27,1,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Time_27,2,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE
Time_27,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Time_27,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,딴소리하긴 하지만 틀린 소리는 아님..?,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
Time_27,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Math_72,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,verifySequence misleading 애매함,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,FALSE
Math_72,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,root cause 가 있는 function은 찾지만 뭔가 딴소리를 함.,FALSE,TRUE,FALSE,TRUE,TRUE,,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE
